,City Name,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
155,Delaware,39.0,70.65,83,1,10.29
156,Embu,-23.65,72.05,60,100,4.7
157,Qaanaaq,77.48,13.32,78,90,8.48
158,Lubango,-14.92,59.49,39,100,3.44
159,George Town,5.41,77.47,94,20,4.7
160,Ponta,38.73,64.04,94,95,19.28
161,Faya,18.39,61.72,27,61,3.02
162,Pochutla,15.74,80.01,83,100,5.14
163,Ilulissat,69.22,28.4,54,87,17.22
164,Morros,-9.45,83.55,22,14,4.32
165,Hay-on-wye,52.07,55.0,95,75,2.59
166,Thompson,55.74,42.8,93,90,3.36
167,Bandi̇̄pur,27.93,64.9,100,9,2.1
168,Kavaratti,10.57,81.12,76,99,10.18
169,Pacific,38.48,58.6,70,28,5.32
170,Cape,-36.41,50.0,76,100,11.41
171,Coyhaique,-45.58,42.8,87,75,4.7
172,Muros,42.78,54.79,79,100,1.01
173,Pauini,-7.71,76.82,72,98,2.3
174,Mwanga,-4.8,71.4,80,100,1.3
175,Bosaso,11.28,83.62,68,6,2.06
176,Cockburn,-32.08,64.4,31,100,17.22
177,Saint Paul Harbor,57.79,55.4,50,1,12.75
178,Sao,20.51,68.16,89,36,6.11
179,Hobyo,5.35,76.64,89,65,15.73
180,Kruisfontein,-34.0,53.01,67,29,12.12
181,Sinnamary,5.38,79.11,82,33,13.02
182,Talalayivka,50.96,55.56,66,100,7.43
183,Oudtshoorn,-33.59,48.2,81,33,6.93
184,Krasnogvardeyskoye,45.85,57.43,66,79,16.58
185,Stornoway,58.21,46.44,93,0,4.7
186,Kyshtovka,56.55,35.71,86,0,12.24
187,Atikokan,48.76,48.79,92,100,7.09
188,Aklavik,68.22,37.4,100,90,8.05
189,Hammerfest,70.66,46.4,87,100,5.82
190,Mpanda,-6.37,68.36,80,89,1.36
191,Beni,0.5,60.91,100,100,2.08
192,Ginda,30.69,66.2,93,0,6.08
193,Kano,12.0,73.4,94,100,3.36
194,Ketchikan,55.34,53.6,93,90,5.82
195,Shalakusha,62.22,42.84,93,0,4.34
196,Tolbazy,54.02,37.4,93,0,2.24
197,Luanda,-8.84,71.6,88,20,6.93
198,Cayenne,4.93,78.8,88,27,6.93
199,Mahébourg,-20.41,71.6,88,40,9.17
200,Goderich,43.75,57.88,75,100,1.01
201,Birao,10.28,71.64,93,16,4.79
202,Husavik,66.04,35.6,69,90,11.41
203,Sainte-Suzanne,-20.91,64.6,60,75,12.75
204,Wanlaweyn,2.62,76.03,82,35,6.29
205,Fairbanks,64.84,50.18,57,40,4.7
206,Weyburn,49.67,55.0,46,76,4.0
207,Bocana,10.01,84.36,72,96,3.02
208,Brae,60.4,51.8,87,0,14.99
209,Bar,49.08,56.86,65,100,8.9
210,Adrar,20.5,87.15,24,0,12.15
211,Nouadhibou,20.93,71.6,78,0,20.8
212,Port-Cartier,50.03,54.57,100,90,6.93
213,Bonfim,3.08,79.63,75,84,6.31
214,Chicla,-11.71,46.29,54,100,1.16
215,Jaguariaíva,-24.25,72.0,92,8,3.42
216,Souillac,-20.52,71.6,88,40,9.17
217,Camacha,33.08,69.8,73,40,12.75
218,Chicama,-7.84,62.58,78,13,5.84
219,Boa,4.43,73.09,91,100,2.71
220,Nome,64.5,42.66,70,1,5.82
221,Maragogi,-9.01,74.95,85,30,10.04
222,Khurai,24.04,72.99,86,12,4.29
223,Tamale,9.4,73.53,89,100,3.27
224,Maunabo,18.01,76.35,96,100,12.33
225,Touros,-5.2,75.2,88,20,6.93
226,Herat Province,34.5,45.27,61,52,20.92
227,Clyde,41.3,55.35,93,100,6.69
228,Vizinga,61.07,44.49,94,31,3.71
229,Ouahigouya,13.58,83.16,48,10,1.97
230,Nizwá,22.93,75.99,44,0,1.03
231,Manta,-0.95,75.2,73,20,11.41
232,Palmar,9.87,67.86,100,75,2.24
233,Sao,20.51,68.16,89,36,6.11
234,Saint-Augustin,51.23,61.29,87,100,14.5
235,Muisne,0.6,74.66,85,97,9.44
236,Faanui,-16.48,77.99,81,5,19.42
237,Carbonear,47.73,63.01,1,46,16.17
238,Mwinilunga,-11.74,61.75,94,35,3.38
239,Nadym,65.53,35.6,88,100,9.78
240,Saint-Pierre,-21.34,63.81,68,20,6.93
241,Ixtapa,20.7,87.24,70,75,2.28
242,Pankovka,58.5,48.72,97,30,4.9
243,Aswān,24.09,82.63,24,0,4.79
244,Tapiramutá,-11.85,66.33,94,66,6.49
245,Ambilobe,-13.2,65.57,86,0,2.95
246,Grand,38.88,65.57,14,1,4.7
247,Khātegaon,22.6,71.38,85,0,3.87
248,Rio,38.3,63.18,93,20,10.65
249,Skjervøy,70.03,53.15,70,23,10.4
250,Tautira,-17.73,82.4,69,75,5.82
251,Shafranovo,53.97,45.19,89,0,3.83
252,Province of Mantua,45.17,49.69,91,0,1.77
253,Lastoursville,-0.81,70.75,86,100,2.04
254,Ridgecrest,35.62,89.01,11,0,7.23
255,Bajo,-3.38,83.62,61,100,0.96
256,Agapovka,53.3,39.2,93,0,8.95
257,Mindelo,16.89,80.6,74,40,16.11
258,Talcahuano,-36.72,50.0,76,75,9.17
259,Puttūr,12.77,77.0,88,40,1.28
260,Acapulco de Juárez,16.86,84.2,79,75,4.7
261,Omboué,-1.57,74.08,80,81,5.44
262,Mayo,38.89,71.29,88,1,13.87
263,San,13.3,82.54,56,45,3.98
264,Agüimes,27.91,72.34,73,75,18.34
265,Carson,33.83,73.26,88,20,16.11
266,Sisimiut,66.94,30.43,95,92,5.19
267,Salalah,17.02,75.2,83,3,4.7
268,Orsha,54.52,46.09,88,0,4.97
269,Port,-7.03,75.6,64,100,2.24
270,Matagami,49.75,53.6,100,90,4.7
271,Mēga,4.05,60.94,83,26,9.44
272,Āron,24.38,71.1,85,0,6.38
273,Havelock,34.88,73.65,88,1,5.82
274,Jiwani,25.05,81.03,76,0,7.23
275,Milyutinskaya,48.63,51.48,53,97,13.27
276,Samaro,25.28,76.96,81,0,10.4
277,Kargil,34.57,37.92,68,0,3.36
278,Kenai,60.55,52.25,76,90,11.41
279,Chiredzi,-21.05,69.33,78,100,6.06
280,Paamiut,61.99,35.38,74,0,12.19
281,Kipushi,-11.77,66.96,68,100,4.12
282,Dzerzhinsk,56.24,51.8,53,100,6.71
283,Itarema,-2.92,78.48,83,0,15.59
284,Rawson,-43.3,58.68,37,41,7.29
285,Beloha,-25.17,66.88,96,14,5.5
286,Laguna,38.42,97.95,9,1,5.82
287,Kyabé,9.45,71.17,96,100,4.43
288,Mabaruma,8.2,75.31,92,7,3.29
289,Kochubey,44.39,61.59,59,0,15.41
290,Guisa,20.25,80.6,74,20,10.29
291,Fort,52.65,51.66,95,95,3.0
292,Tambopata,-12.73,73.92,85,100,2.55
293,Livanates,38.72,64.35,69,0,3.0
294,Fort,52.65,51.66,95,95,3.0
295,Rocha,-34.48,47.08,79,0,5.12
296,Estado de Bahia,-12.0,66.92,56,18,0.6
297,Gainesville,29.65,75.52,100,1,4.05
298,Derzhavīnsk,51.1,47.59,59,0,5.68
299,Viking,53.1,64.0,51,95,16.24
300,San,13.3,82.36,55,15,3.31
301,Marystown,47.17,64.0,100,52,1.01
302,Gra,41.77,52.0,76,95,2.1
303,Palmer,42.16,65.75,82,40,5.82
304,Iqaluit,63.75,23.0,85,75,8.05
305,‘Āhuimanu,21.44,84.0,65,20,9.17
306,Qaqortoq,60.72,32.0,85,0,4.7
307,Domoni,-12.26,73.8,80,5,4.32
308,Tevaitoa,-16.78,78.57,79,10,20.07
309,Vardø,70.37,48.42,89,0,10.4
310,Tiznit Province,29.58,71.6,45,0,1.19
311,Warud,21.47,72.25,87,0,5.73
312,Mthatha,-31.59,44.6,93,0,1.12
313,Arrondissement de Verdun,49.25,51.71,96,100,7.0
314,Quelimane,-17.88,73.18,84,0,5.08
315,Praia,14.92,80.6,88,40,13.87
316,Sesheke,-17.48,71.6,26,82,3.36
317,Siniscola,40.57,62.6,77,3,12.75
318,Santa,17.49,83.39,71,45,2.64
319,Lodwar,3.12,84.63,40,0,15.57
320,Wagar,16.15,88.34,29,100,6.58
321,Hwange,-18.37,76.8,39,93,5.7
322,Chapais,49.78,59.0,100,75,6.93
323,Sechura,-5.56,63.01,79,0,14.0
324,Acaraú,-2.89,78.42,83,0,15.52
325,Nuuk,64.18,33.39,80,1,5.82
326,Petatlán,17.52,79.39,77,100,0.45
327,Sur,22.57,82.35,54,0,9.28
328,Yar-Sale,66.83,36.63,89,97,9.91
329,Junín,-34.58,55.99,71,31,1.99
330,Zhezkazgan,47.8,43.21,61,0,8.28
331,Qandala,11.47,83.73,65,0,2.84
332,Micheweni,-4.97,76.78,80,100,7.49
333,Alvarães,-3.22,78.04,78,100,1.34
334,Azanja,44.43,57.13,93,40,5.82
335,Nioro,13.35,75.76,91,47,2.39
336,Bellevue,47.61,67.21,52,1,6.93
337,Filingué,14.35,89.58,34,42,2.19
338,Nkhotakota,-12.93,72.81,70,0,4.5
339,Port,-7.03,75.09,64,100,4.09
340,Unaí,-16.36,77.88,25,0,1.32
341,Kiryat Gat,31.61,74.34,83,0,2.15
342,La Santisima Trinidad,-14.83,72.46,85,100,2.48
343,Mount Abu,24.6,64.02,100,0,2.13
344,San,13.3,82.54,56,45,3.98
345,Kalabo,-14.97,74.34,30,90,2.06
346,Mount Abu,24.6,64.02,100,0,2.13
347,Dahra,36.25,68.0,45,26,6.93
348,Serenje,-13.23,64.11,41,16,5.03
349,Chabahar,25.29,78.8,88,0,3.44
350,Shawnee,39.05,57.04,47,75,3.36
351,Baie-Saint-Paul,47.44,62.01,97,100,3.96
352,Benghazi,32.12,77.95,75,0,13.91
353,Rundu,-17.93,67.41,22,13,5.93
354,Azovo,54.7,44.6,70,75,15.66
355,Danville,36.59,70.66,83,1,4.7
356,Calvinia,-31.47,41.38,70,0,3.02
357,Madison,34.73,59.94,87,90,5.82
358,Yenagoa,4.92,74.7,95,100,4.09
359,Dingle,11.0,85.08,72,32,0.45
360,Mastic,40.8,66.76,88,1,4.7
361,Tshikapa,-6.42,72.59,90,100,3.78
362,Eureka,40.8,79.27,71,0,0.67
363,Mezhdurechenskiy,59.6,36.72,84,100,0.78
364,Tibiri,13.56,87.85,42,100,7.52
365,Sunyani,7.34,70.07,99,100,3.02
366,Whitehorse,60.72,49.06,34,20,11.41
367,San,13.3,82.54,56,45,3.98
368,Izhma,65.01,44.22,96,88,5.59
369,Prieska,-29.66,49.3,43,0,6.24
370,Bud,39.45,53.73,87,1,5.97
371,Santa,17.49,83.39,71,45,2.64
372,Spitak,40.83,50.0,76,20,2.24
373,Malakal,9.53,73.27,89,99,3.4
374,Fuerte,17.54,82.98,71,86,3.09
375,Armação,-27.75,67.46,77,75,8.05
376,Paranhos,-23.89,68.0,60,0,4.27
377,Lagoa,39.05,67.24,85,100,18.7
378,Salinas,36.68,64.78,82,90,12.75
379,Molėtai,55.23,43.25,93,3,4.7
380,Nueva,-1.72,74.59,69,20,14.99
381,Nokaneng,-19.67,68.88,20,8,11.03
382,Redmond,47.67,66.97,66,0,5.97
383,Houston,29.76,73.2,40,75,13.87
384,Mbanza-Ngungu,-5.25,71.06,77,100,5.06
385,Soyo,-6.13,73.58,83,100,7.61
386,Oranjemund,-28.55,54.34,66,0,19.08
387,Alcúdia,39.85,59.34,82,0,5.82
388,Bodden,51.2,57.7,96,46,1.01
389,Maniitsoq,65.42,30.96,88,0,5.79
390,Palora,-1.7,65.88,95,98,3.36
391,Quechultenango,17.42,71.24,86,100,3.31
392,Thano,30.24,66.2,93,0,5.21
393,Pyaozerskiy,65.83,46.42,88,16,3.69
394,Saint-Joseph,-21.37,64.0,68,22,6.93
395,Winslow,35.02,78.8,10,1,4.7
396,Bam,29.11,68.47,26,0,15.97
397,Maroantsetra,-15.43,68.99,84,82,0.65
398,Weil,48.12,44.87,87,75,6.93
399,Kumluca,36.37,85.37,41,0,4.41
400,Bonavista,48.65,61.75,87,100,18.37
401,Sioux,42.73,54.82,58,75,8.05
402,Lapeer,43.05,53.44,100,90,4.7
403,Fernie,49.5,56.88,71,75,3.98
404,Haines,59.23,51.8,76,90,14.99
405,Tabas,33.6,66.2,34,5,13.87
406,Ringebu,61.52,46.99,97,100,5.46
407,Bafatá,12.17,75.49,94,100,1.54
408,Pangai,-19.8,82.4,74,20,11.41
409,Baní,18.28,77.72,85,100,3.0
410,Yarega,63.44,45.77,97,42,5.59
411,Mezhdurechensk,53.69,40.93,87,100,4.5
412,Raudeberg,61.99,57.0,90,100,11.65
413,Gävle,60.67,49.51,96,22,0.78
414,Colombo,6.93,78.8,88,40,12.75
415,Chibuto,-24.69,69.82,89,99,9.82
416,Chateaubelair,13.28,78.87,88,20,5.82
417,Loandjili,-4.76,77.0,83,75,4.7
418,Bonnyville,54.27,64.4,34,20,13.87
419,Vestmanna,62.16,48.2,93,1,12.75
420,Hithadhoo,-0.6,83.53,69,98,8.37
421,Zhangaözen,43.3,49.3,50,0,8.72
422,Kollam,8.88,80.6,94,20,2.24
423,Emba,48.83,52.97,55,48,5.99
424,Guerrero,17.67,70.07,82,100,3.24
425,Boende,-0.22,67.68,99,92,1.34
426,Itaberá,-23.86,68.5,88,39,6.67
427,Eskhar,49.8,57.09,42,100,15.66
428,Tubualá,9.52,76.42,94,75,2.24
429,Redlands,34.06,91.38,36,0,8.97
430,Dakar,14.69,82.4,83,40,2.24
431,Hévíz,46.79,46.4,100,44,3.36
432,Leticia,-4.22,78.8,94,40,3.36
433,Kongsberg,59.67,51.6,98,100,1.7
434,Tombouctou,20.0,93.63,13,0,7.45
435,Grindavik,63.84,39.2,93,75,8.05
436,Salinópolis,-0.61,79.41,78,1,13.8
437,Karakol,42.49,41.14,66,55,2.15
438,Bathsheba,13.22,73.4,94,75,17.22
439,Ishim,56.11,39.29,87,2,9.93
440,Morant,17.9,81.27,74,20,10.29
441,Lucapa,-8.42,68.09,94,100,1.07
442,Lompoc,34.64,63.0,93,75,9.17
443,Ongandjera,-17.88,61.88,26,0,12.03
444,Kadyy,57.79,46.56,74,100,5.26
445,Rochegda,62.8,43.59,96,27,5.01
446,Abalak,58.13,35.31,93,73,4.34
447,Tarāna,23.33,70.2,89,5,6.62
448,Jalu,29.03,86.16,19,0,8.12
449,Anyama,5.49,77.0,94,75,5.82
450,Béboto,8.27,70.05,92,100,0.29
451,Grand,38.88,65.57,14,1,4.7
452,Tocopilla,-22.09,61.25,62,1,3.56
453,Chernoyerkovskaya,45.43,62.6,82,0,6.71
454,Tamandaré,-8.76,75.78,83,60,10.27
455,Peace,48.31,56.01,50,39,14.45
456,Sao,20.51,68.31,91,0,5.68
457,Serro,-18.6,70.32,38,1,3.06
458,Azul,-36.78,51.48,70,67,7.16
459,Strezhevoy,60.73,33.8,100,75,2.24
460,Bartica,6.4,78.8,94,32,6.93
461,Kaputa,-8.47,68.49,70,100,2.98
462,Porto,41.15,58.35,93,51,1.16
463,Partenit,44.58,68.72,56,32,7.09
464,Homer,59.64,50.31,87,90,5.82
465,Waddān,29.16,79.0,47,0,8.93
466,Beaufort,5.35,80.31,83,20,3.36
467,Soure,-0.72,80.67,73,0,16.58
468,Mount,53.66,52.84,92,26,3.29
469,Udgīr,18.38,68.94,92,30,5.61
470,Elverum,60.88,52.0,88,100,2.19
471,Flin,48.5,51.82,87,90,8.05
472,Port,-7.03,75.6,64,100,2.24
473,Qasigiannguit,68.82,28.4,54,85,17.22
474,Carstairs,51.57,62.98,53,100,5.01
475,Kribi,2.95,74.37,93,98,8.03
476,Kamenka,51.32,47.61,50,100,9.93
477,Plettenberg,51.22,45.54,94,34,4.92
478,Oistins,13.07,73.4,94,75,17.22
479,South,64.0,33.01,92,2,1.01
480,Atakent,40.85,58.59,35,100,5.14
481,Porbandar,21.64,79.74,75,92,8.14
482,Cosalá,24.41,87.01,82,5,5.99
483,Zapolyarnyy,69.42,51.8,87,58,16.11
484,Biankouma,7.74,68.5,95,87,2.15
485,Malbork,54.04,50.49,100,100,6.62
486,Jackson,42.42,92.16,14,0,5.99
487,Katiola,8.13,73.4,100,20,2.24
488,Mobaye,4.32,69.06,95,100,2.08
489,Kailua,21.4,82.51,65,20,9.17
490,Mangai,-4.05,70.88,92,100,0.78
491,Basoko,1.24,69.46,95,48,3.42
492,Yomou,7.56,69.22,98,100,0.89
493,Tambacounda,13.75,80.6,83,75,6.93
494,Narodychi,51.2,52.88,67,86,8.32
495,Bloomington,44.84,51.3,87,90,4.7
496,Tuxpan,19.55,73.4,83,90,11.41
497,Sikasso,10.92,75.69,76,0,1.03
498,Voi,-3.39,71.4,84,100,5.3
499,Bubaque,11.28,81.63,72,100,3.4
500,Meshchovsk,54.32,48.72,92,85,5.19
501,Ţahţā,26.77,82.24,27,0,4.7
502,Santa,17.49,83.3,71,84,3.38
503,Ocós,14.51,72.14,100,75,4.7
504,Half,6.38,76.71,91,100,4.79
505,Tessalit,20.2,87.94,18,0,12.41
506,Winder,33.99,69.96,88,40,5.86
507,Pasni,25.26,79.54,82,0,5.21
508,Dilla,6.41,59.56,82,15,3.62
509,Barra,-11.09,78.85,40,4,7.36
510,Kralendijk,12.15,84.2,74,74,13.87
511,Camopi,3.17,75.0,75,8,5.75
512,Iquitos,-3.75,78.8,83,20,2.24
513,Diffa,13.32,82.02,60,74,8.81
